url,name,brand,price,year,origin,transmission,body_type,engine,drive,mileage_km,seats,doors,exterior_color,interior_color,condition
https://bonbanh.com/xe-mercedes_benz-c_class-c250-exclusive-2016-6278688,Mercedes Benz C class C250 Exclusive,Mercedes,645 Triệu,2016,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,90000,5,4,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-vinfast-vf9-plus-2023-6448297,VinFast VF9 Plus,Vinfast,920 Triệu,2023,Lắp ráp trong nước,Số tự động,SUV,Điện 0.2 L,AWD - 4 bánh toàn thời gian,50000,6,5,Đỏ,Nâu,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-6469581,Mercedes Benz GLC 4Matic,Mercedes,1 Tỷ 679 Triệu,2022,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,26600,5,5,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2023-6466664,Mitsubishi Xpander Cross,Mitsubishi,579 Triệu,2023,Nhập khẩu,Số tự động,SUV,Xăng 1.5 L,FWD - Dẫn động cầu trước,62000,7,5,Cam,Đen,Xe đã dùng
https://bonbanh.com/xe-ford-explorer-limited-2.3l-ecoboost-2019-6297508,Ford Explorer Limited EcoBoost,Ford,1 Tỷ 100 Triệu,2019,Nhập khẩu,Số tự động,SUV,Xăng 2.3 L,AWD - 4 bánh toàn thời gian,60000,7,5,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-nissan-navara-sl-2.5-mt-4wd-2016-6482297,Nissan Navara SL,Nissan,365 Triệu,2016,Nhập khẩu,Số tay,Bán tải / Pickup,Dầu 2.5 L,4WD - Dẫn động 4 bánh,0,5,4,Nâu,Kem,Xe đã dùng
https://bonbanh.com/xe-chevrolet-vivant-cdx-mt-2008-6477322,Chevrolet Vivant CDX,Chevrolet,99 Triệu,2008,Lắp ráp trong nước,Số tay,Crossover,Xăng 2.0 L,FWD - Dẫn động cầu trước,0,7,5,Vàng,Vàng,Xe đã dùng
https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2020-6471958,Kia Sorento Signature,Kia,845 Triệu,2020,Lắp ráp trong nước,Số tự động,SUV,Dầu 2.2 L,AWD - 4 bánh toàn thời gian,114000,6,5,Xanh,Kem,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2016-6377721,Mercedes Benz C class C300 AMG,Mercedes,599 Triệu,2016,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,111000,5,4,Đen,Kem,Xe đã dùng
https://bonbanh.com/xe-vinfast-lux_sa_2.0-base-2.0-at-2020-6447896,VinFast Lux SA Base,Vinfast,585 Triệu,2020,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,RFD - Dẫn động cầu sau,90000,7,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-audi-q5-2.0-at-2015-6423891,Audi Q5,Audi,628 Triệu,2015,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,95000,5,5,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2014-6356452,Toyota Land Cruiser VX V8,Toyota,1 Tỷ 850 Triệu,2014,Nhập khẩu,Số tự động,SUV,Xăng 4.6 L,AWD - 4 bánh toàn thời gian,14000,8,5,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-bentley-flying_spur-first-edition-v8-2021-6275734,Bentley Flying Spur First Edition V8,Bentley,13 Tỷ,2021,Nhập khẩu,Số tự động,Sedan,Xăng 4.0 L,RFD - Dẫn động cầu sau,14000,5,4,Đỏ,Nâu,Xe đã dùng
https://bonbanh.com/xe-lexus-rx-350-2020-6292088,Lexus RX,Lexus,3 Tỷ 269 Triệu,2020,Nhập khẩu,Số tự động,SUV,Xăng 3.5 L,AWD - 4 bánh toàn thời gian,50000,5,5,Trắng,Nâu,Xe đã dùng
https://bonbanh.com/xe-chevrolet-cruze-ltz-1.8-at-2016-6251191,Chevrolet Cruze LTZ,Chevrolet,280 Triệu,2016,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.8 L,FWD - Dẫn động cầu trước,95000,5,4,Xám,Đen,Xe đã dùng
https://bonbanh.com/xe-toyota-highlander-le-2.7-2015-6478939,Toyota Highlander LE,Toyota,860 Triệu,2015,Nhập khẩu,Số tự động,SUV,Xăng 2.7 L,FWD - Dẫn động cầu trước,120000,7,5,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-hyundai-tucson-2.0-at-crdi-2019-6297708,Hyundai Tucson CRDi,Hyundai,630 Triệu,2019,Lắp ráp trong nước,Số tự động,Crossover,Dầu 2.0 L,FWD - Dẫn động cầu trước,93000,5,5,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-kia-sorento-gat-2017-6355815,Kia Sorento GAT,Kia,438 Triệu,2017,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.4 L,FWD - Dẫn động cầu trước,98000,7,5,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-mazda-3-2.0-at-2017-6288703,Mazda,Mazda,375 Triệu,2017,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,FWD - Dẫn động cầu trước,60000,5,4,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-nissan-almera-vl-1.0-cvt-cao-cap-2022-6426508,Nissan Almera VL Cao cấp,Nissan,440 Triệu,2022,Nhập khẩu,Số tự động,Sedan,Xăng 1.0 L,FWD - Dẫn động cầu trước,53000,5,4,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2020-6471958,Kia Sorento Signature,Kia,845 Triệu,2020,Lắp ráp trong nước,Số tự động,SUV,Dầu 2.2 L,AWD - 4 bánh toàn thời gian,114000,6,5,Xanh,Kem,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2016-6377721,Mercedes Benz C class C300 AMG,Mercedes,599 Triệu,2016,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,RFD - Dẫn động cầu sau,111000,5,4,Đen,Kem,Xe đã dùng
https://bonbanh.com/xe-vinfast-lux_sa_2.0-base-2.0-at-2020-6447896,VinFast Lux SA Base,Vinfast,585 Triệu,2020,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.0 L,RFD - Dẫn động cầu sau,90000,7,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-audi-q5-2.0-at-2015-6423891,Audi Q5,Audi,628 Triệu,2015,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,95000,5,5,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2014-6356452,Toyota Land Cruiser VX V8,Toyota,1 Tỷ 850 Triệu,2014,Nhập khẩu,Số tự động,SUV,Xăng 4.6 L,AWD - 4 bánh toàn thời gian,14000,8,5,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-bentley-flying_spur-first-edition-v8-2021-6275734,Bentley Flying Spur First Edition V8,Bentley,13 Tỷ,2021,Nhập khẩu,Số tự động,Sedan,Xăng 4.0 L,RFD - Dẫn động cầu sau,14000,5,4,Đỏ,Nâu,Xe đã dùng
https://bonbanh.com/xe-lexus-rx-350-2020-6292088,Lexus RX,Lexus,3 Tỷ 269 Triệu,2020,Nhập khẩu,Số tự động,SUV,Xăng 3.5 L,AWD - 4 bánh toàn thời gian,50000,5,5,Trắng,Nâu,Xe đã dùng
https://bonbanh.com/xe-chevrolet-cruze-ltz-1.8-at-2016-6251191,Chevrolet Cruze LTZ,Chevrolet,280 Triệu,2016,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.8 L,FWD - Dẫn động cầu trước,95000,5,4,Xám,Đen,Xe đã dùng
https://bonbanh.com/xe-toyota-highlander-le-2.7-2015-6478939,Toyota Highlander LE,Toyota,860 Triệu,2015,Nhập khẩu,Số tự động,SUV,Xăng 2.7 L,FWD - Dẫn động cầu trước,120000,7,5,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-hyundai-tucson-2.0-at-crdi-2019-6297708,Hyundai Tucson CRDi,Hyundai,630 Triệu,2019,Lắp ráp trong nước,Số tự động,Crossover,Dầu 2.0 L,FWD - Dẫn động cầu trước,93000,5,5,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-kia-sorento-gat-2017-6355815,Kia Sorento GAT,Kia,438 Triệu,2017,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.4 L,FWD - Dẫn động cầu trước,98000,7,5,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-mazda-3-2.0-at-2017-6288703,Mazda,Mazda,375 Triệu,2017,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,FWD - Dẫn động cầu trước,60000,5,4,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-nissan-almera-vl-1.0-cvt-cao-cap-2022-6426508,Nissan Almera VL Cao cấp,Nissan,440 Triệu,2022,Nhập khẩu,Số tự động,Sedan,Xăng 1.0 L,FWD - Dẫn động cầu trước,53000,5,4,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2015-6383544,LandRover Range Rover HSE,Range Rover,2 Tỷ 250 Triệu,2015,Nhập khẩu,Số tự động,SUV,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,0,5,5,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-volkswagen-teramont-2.0-at-2021-6471755,Volkswagen Teramont,Volkswagen,1 Tỷ 489 Triệu,2021,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,67000,7,5,Xanh,Nâu,Xe đã dùng
https://bonbanh.com/xe-vinfast-fadil-tieu-chuan-1.4-at-2022-6471179,VinFast Fadil Tiêu chuẩn,Vinfast,328 Triệu,2022,Lắp ráp trong nước,Số tự động,Hatchback,Xăng 1.4 L,FWD - Dẫn động cầu trước,23000,5,5,Đỏ,Đen,Xe đã dùng
https://bonbanh.com/xe-lexus-rx-350-luxury-2023-6439060,Lexus RX Luxury,Lexus,3 Tỷ 790 Triệu,2023,Nhập khẩu,Số tự động,SUV,Xăng 2.4 L,AWD - 4 bánh toàn thời gian,49000,5,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2017-6317224,Ford Ranger XLS,Ford,450 Triệu,2017,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.2 L,RFD - Dẫn động cầu sau,83000,5,4,Trắng,Nâu,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-maybach-s680-4matic-2022-6426163,Mercedes Benz Maybach S680 4Matic,Mercedes,11 Tỷ 890 Triệu,2022,Nhập khẩu,Số tự động,Sedan,Xăng 6.0 L,AWD - 4 bánh toàn thời gian,9600,4,4,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-mitsubishi-triton-4x2-at-2018-6474341,Mitsubishi Triton,Mitsubishi,420 Triệu,2018,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.5 L,RFD - Dẫn động cầu sau,70000,5,4,Bạc,Đen,Xe đã dùng
https://bonbanh.com/xe-nissan-almera-vl-1.0-cvt-cao-cap-2022-6426508,Nissan Almera VL Cao cấp,Nissan,440 Triệu,2022,Nhập khẩu,Số tự động,Sedan,Xăng 1.0 L,FWD - Dẫn động cầu trước,53000,5,4,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2015-6383544,LandRover Range Rover HSE,Range Rover,2 Tỷ 250 Triệu,2015,Nhập khẩu,Số tự động,SUV,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,0,5,5,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-volkswagen-teramont-2.0-at-2021-6471755,Volkswagen Teramont,Volkswagen,1 Tỷ 489 Triệu,2021,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,67000,7,5,Xanh,Nâu,Xe đã dùng
https://bonbanh.com/xe-vinfast-fadil-tieu-chuan-1.4-at-2022-6471179,VinFast Fadil Tiêu chuẩn,Vinfast,328 Triệu,2022,Lắp ráp trong nước,Số tự động,Hatchback,Xăng 1.4 L,FWD - Dẫn động cầu trước,23000,5,5,Đỏ,Đen,Xe đã dùng
https://bonbanh.com/xe-lexus-rx-350-luxury-2023-6439060,Lexus RX Luxury,Lexus,3 Tỷ 790 Triệu,2023,Nhập khẩu,Số tự động,SUV,Xăng 2.4 L,AWD - 4 bánh toàn thời gian,49000,5,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2017-6317224,Ford Ranger XLS,Ford,450 Triệu,2017,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.2 L,RFD - Dẫn động cầu sau,83000,5,4,Trắng,Nâu,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-maybach-s680-4matic-2022-6426163,Mercedes Benz Maybach S680 4Matic,Mercedes,11 Tỷ 890 Triệu,2022,Nhập khẩu,Số tự động,Sedan,Xăng 6.0 L,AWD - 4 bánh toàn thời gian,9600,4,4,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-mitsubishi-triton-4x2-at-2018-6474341,Mitsubishi Triton,Mitsubishi,420 Triệu,2018,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.5 L,RFD - Dẫn động cầu sau,70000,5,4,Bạc,Đen,Xe đã dùng
https://bonbanh.com/xe-nissan-navara-el-a-ivi-2.5-at-2wd-2020-6426040,Nissan Navara EL A IVI,Nissan,475 Triệu,2020,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.5 L,RFD - Dẫn động cầu sau,90000,5,4,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-6331202,Hyundai i10 Grand,Hyundai,289 Triệu,2019,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.25 L,FWD - Dẫn động cầu trước,87000,5,4,Đồng,Nhiều màu,Xe đã dùng
https://bonbanh.com/xe-kia-carnival-signature-2.2d-2023-6271396,Kia Carnival Signature .2D,Kia,1 Tỷ 270 Triệu,2023,Lắp ráp trong nước,Số tự động,Van/Minivan,Dầu 2.2 L,FWD - Dẫn động cầu trước,45000,7,5,Xanh,Nâu,Xe đã dùng
https://bonbanh.com/xe-hyundai-elantra-1.6-at-dac-biet-2022-6406049,Hyundai Elantra Đặc biệt,Hyundai,535 Triệu,2022,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.6 L,FWD - Dẫn động cầu trước,35000,5,4,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x4-at-2021-6434081,Mitsubishi Pajero Sport .4D,Mitsubishi,900 Triệu,2021,Nhập khẩu,Số tự động,SUV,Dầu 2.4 L,4WD - Dẫn động 4 bánh,30000,7,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-6351886,Ford Everest Titanium Plus,Ford,1 Tỷ 379 Triệu,2024,Nhập khẩu,Số tự động,SUV,Dầu 2.0 L,4WD - Dẫn động 4 bánh,25000,7,5,Nâu,Đen,Xe đã dùng
https://bonbanh.com/xe-lexus-lm-500h-2024-6340994,Lexus LM 500h,Lexus,8 Tỷ 390 Triệu,2024,Nhập khẩu,Số tự động,Van/Minivan,Hybrid 2.4 L,AWD - 4 bánh toàn thời gian,11000,6,5,Đen,-,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2020-6333826,Mercedes Benz S class S450L,Mercedes,2 Tỷ 250 Triệu,2020,Lắp ráp trong nước,Số tự động,Sedan,Xăng 3.0 L,RFD - Dẫn động cầu sau,50000,5,4,Trắng,Nâu,Xe đã dùng
https://bonbanh.com/xe-landrover-range_rover_velar-r-dynamic-se-2.0-2019-6473301,LandRover Range Rover Velar R Dynamic SE,Range Rover,2 Tỷ 299 Triệu,2019,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,86000,5,5,Xám,Đen,Xe đã dùng
https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-6471771,Toyota Corolla Cross .8V,Toyota,725 Triệu,2022,Nhập khẩu,Số tự động,SUV,Xăng 1.8 L,FWD - Dẫn động cầu trước,45000,5,5,Trắng,Đỏ,Xe đã dùng
https://bonbanh.com/xe-vinfast-vf8-eco-awd-2022-6450280,VinFast VF8 Eco,Vinfast,670 Triệu,2022,Lắp ráp trong nước,Số tự động,SUV,Điện,AWD - 4 bánh toàn thời gian,69000,5,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-lynk_co-01-hyper-pro-2024-6398705,Lynk & Co Hyper Pro,Lynk,859 Triệu,2024,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,FWD - Dẫn động cầu trước,21000,5,5,Xanh,Nhiều màu,Xe đã dùng
https://bonbanh.com/xe-chevrolet-cruze-ltz-1.8-at-2016-6251191,Chevrolet Cruze LTZ,Chevrolet,280 Triệu,2016,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.8 L,FWD - Dẫn động cầu trước,95000,5,4,Xám,Đen,Xe đã dùng
https://bonbanh.com/xe-toyota-highlander-le-2.7-2015-6478939,Toyota Highlander LE,Toyota,860 Triệu,2015,Nhập khẩu,Số tự động,SUV,Xăng 2.7 L,FWD - Dẫn động cầu trước,120000,7,5,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-hyundai-tucson-2.0-at-crdi-2019-6297708,Hyundai Tucson CRDi,Hyundai,630 Triệu,2019,Lắp ráp trong nước,Số tự động,Crossover,Dầu 2.0 L,FWD - Dẫn động cầu trước,93000,5,5,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-kia-sorento-gat-2017-6355815,Kia Sorento GAT,Kia,438 Triệu,2017,Lắp ráp trong nước,Số tự động,SUV,Xăng 2.4 L,FWD - Dẫn động cầu trước,98000,7,5,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-mazda-3-2.0-at-2017-6288703,Mazda,Mazda,375 Triệu,2017,Lắp ráp trong nước,Số tự động,Sedan,Xăng 2.0 L,FWD - Dẫn động cầu trước,60000,5,4,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-nissan-almera-vl-1.0-cvt-cao-cap-2022-6426508,Nissan Almera VL Cao cấp,Nissan,440 Triệu,2022,Nhập khẩu,Số tự động,Sedan,Xăng 1.0 L,FWD - Dẫn động cầu trước,53000,5,4,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2015-6383544,LandRover Range Rover HSE,Range Rover,2 Tỷ 250 Triệu,2015,Nhập khẩu,Số tự động,SUV,Xăng 3.0 L,AWD - 4 bánh toàn thời gian,0,5,5,Đen,Đen,Xe đã dùng
https://bonbanh.com/xe-volkswagen-teramont-2.0-at-2021-6471755,Volkswagen Teramont,Volkswagen,1 Tỷ 489 Triệu,2021,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,67000,7,5,Xanh,Nâu,Xe đã dùng
https://bonbanh.com/xe-vinfast-fadil-tieu-chuan-1.4-at-2022-6471179,VinFast Fadil Tiêu chuẩn,Vinfast,328 Triệu,2022,Lắp ráp trong nước,Số tự động,Hatchback,Xăng 1.4 L,FWD - Dẫn động cầu trước,23000,5,5,Đỏ,Đen,Xe đã dùng
https://bonbanh.com/xe-lexus-rx-350-luxury-2023-6439060,Lexus RX Luxury,Lexus,3 Tỷ 790 Triệu,2023,Nhập khẩu,Số tự động,SUV,Xăng 2.4 L,AWD - 4 bánh toàn thời gian,49000,5,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2017-6317224,Ford Ranger XLS,Ford,450 Triệu,2017,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.2 L,RFD - Dẫn động cầu sau,83000,5,4,Trắng,Nâu,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-maybach-s680-4matic-2022-6426163,Mercedes Benz Maybach S680 4Matic,Mercedes,11 Tỷ 890 Triệu,2022,Nhập khẩu,Số tự động,Sedan,Xăng 6.0 L,AWD - 4 bánh toàn thời gian,9600,4,4,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-mitsubishi-triton-4x2-at-2018-6474341,Mitsubishi Triton,Mitsubishi,420 Triệu,2018,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.5 L,RFD - Dẫn động cầu sau,70000,5,4,Bạc,Đen,Xe đã dùng
https://bonbanh.com/xe-nissan-navara-el-a-ivi-2.5-at-2wd-2020-6426040,Nissan Navara EL A IVI,Nissan,475 Triệu,2020,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.5 L,RFD - Dẫn động cầu sau,90000,5,4,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-6331202,Hyundai i10 Grand,Hyundai,289 Triệu,2019,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.25 L,FWD - Dẫn động cầu trước,87000,5,4,Đồng,Nhiều màu,Xe đã dùng
https://bonbanh.com/xe-kia-carnival-signature-2.2d-2023-6271396,Kia Carnival Signature .2D,Kia,1 Tỷ 270 Triệu,2023,Lắp ráp trong nước,Số tự động,Van/Minivan,Dầu 2.2 L,FWD - Dẫn động cầu trước,45000,7,5,Xanh,Nâu,Xe đã dùng
https://bonbanh.com/xe-hyundai-elantra-1.6-at-dac-biet-2022-6406049,Hyundai Elantra Đặc biệt,Hyundai,535 Triệu,2022,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.6 L,FWD - Dẫn động cầu trước,35000,5,4,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x4-at-2021-6434081,Mitsubishi Pajero Sport .4D,Mitsubishi,900 Triệu,2021,Nhập khẩu,Số tự động,SUV,Dầu 2.4 L,4WD - Dẫn động 4 bánh,30000,7,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-6351886,Ford Everest Titanium Plus,Ford,1 Tỷ 379 Triệu,2024,Nhập khẩu,Số tự động,SUV,Dầu 2.0 L,4WD - Dẫn động 4 bánh,25000,7,5,Nâu,Đen,Xe đã dùng
https://bonbanh.com/xe-lexus-lm-500h-2024-6340994,Lexus LM 500h,Lexus,8 Tỷ 390 Triệu,2024,Nhập khẩu,Số tự động,Van/Minivan,Hybrid 2.4 L,AWD - 4 bánh toàn thời gian,11000,6,5,Đen,-,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-maybach-s680-4matic-2022-6426163,Mercedes Benz Maybach S680 4Matic,Mercedes,11 Tỷ 890 Triệu,2022,Nhập khẩu,Số tự động,Sedan,Xăng 6.0 L,AWD - 4 bánh toàn thời gian,9600,4,4,Đen,Nâu,Xe đã dùng
https://bonbanh.com/xe-mitsubishi-triton-4x2-at-2018-6474341,Mitsubishi Triton,Mitsubishi,420 Triệu,2018,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.5 L,RFD - Dẫn động cầu sau,70000,5,4,Bạc,Đen,Xe đã dùng
https://bonbanh.com/xe-nissan-navara-el-a-ivi-2.5-at-2wd-2020-6426040,Nissan Navara EL A IVI,Nissan,475 Triệu,2020,Nhập khẩu,Số tự động,Bán tải / Pickup,Dầu 2.5 L,RFD - Dẫn động cầu sau,90000,5,4,Trắng,Kem,Xe đã dùng
https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-6331202,Hyundai i10 Grand,Hyundai,289 Triệu,2019,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.25 L,FWD - Dẫn động cầu trước,87000,5,4,Đồng,Nhiều màu,Xe đã dùng
https://bonbanh.com/xe-kia-carnival-signature-2.2d-2023-6271396,Kia Carnival Signature .2D,Kia,1 Tỷ 270 Triệu,2023,Lắp ráp trong nước,Số tự động,Van/Minivan,Dầu 2.2 L,FWD - Dẫn động cầu trước,45000,7,5,Xanh,Nâu,Xe đã dùng
https://bonbanh.com/xe-hyundai-elantra-1.6-at-dac-biet-2022-6406049,Hyundai Elantra Đặc biệt,Hyundai,535 Triệu,2022,Lắp ráp trong nước,Số tự động,Sedan,Xăng 1.6 L,FWD - Dẫn động cầu trước,35000,5,4,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x4-at-2021-6434081,Mitsubishi Pajero Sport .4D,Mitsubishi,900 Triệu,2021,Nhập khẩu,Số tự động,SUV,Dầu 2.4 L,4WD - Dẫn động 4 bánh,30000,7,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2024-6351886,Ford Everest Titanium Plus,Ford,1 Tỷ 379 Triệu,2024,Nhập khẩu,Số tự động,SUV,Dầu 2.0 L,4WD - Dẫn động 4 bánh,25000,7,5,Nâu,Đen,Xe đã dùng
https://bonbanh.com/xe-lexus-lm-500h-2024-6340994,Lexus LM 500h,Lexus,8 Tỷ 390 Triệu,2024,Nhập khẩu,Số tự động,Van/Minivan,Hybrid 2.4 L,AWD - 4 bánh toàn thời gian,11000,6,5,Đen,-,Xe đã dùng
https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2020-6333826,Mercedes Benz S class S450L,Mercedes,2 Tỷ 250 Triệu,2020,Lắp ráp trong nước,Số tự động,Sedan,Xăng 3.0 L,RFD - Dẫn động cầu sau,50000,5,4,Trắng,Nâu,Xe đã dùng
https://bonbanh.com/xe-landrover-range_rover_velar-r-dynamic-se-2.0-2019-6473301,LandRover Range Rover Velar R Dynamic SE,Range Rover,2 Tỷ 299 Triệu,2019,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,AWD - 4 bánh toàn thời gian,86000,5,5,Xám,Đen,Xe đã dùng
https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-6471771,Toyota Corolla Cross .8V,Toyota,725 Triệu,2022,Nhập khẩu,Số tự động,SUV,Xăng 1.8 L,FWD - Dẫn động cầu trước,45000,5,5,Trắng,Đỏ,Xe đã dùng
https://bonbanh.com/xe-vinfast-vf8-eco-awd-2022-6450280,VinFast VF8 Eco,Vinfast,670 Triệu,2022,Lắp ráp trong nước,Số tự động,SUV,Điện,AWD - 4 bánh toàn thời gian,69000,5,5,Trắng,Đen,Xe đã dùng
https://bonbanh.com/xe-lynk_co-01-hyper-pro-2024-6398705,Lynk & Co Hyper Pro,Lynk,859 Triệu,2024,Nhập khẩu,Số tự động,SUV,Xăng 2.0 L,FWD - Dẫn động cầu trước,21000,5,5,Xanh,Nhiều màu,Xe đã dùng
https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-6328968,Toyota Corolla Cross .8V,Toyota,705 Triệu,2022,Nhập khẩu,Số tự động,SUV,Xăng 1.8 L,FWD - Dẫn động cầu trước,40000,5,5,Bạc,Đen,Xe đã dùng
https://bonbanh.com/xe-lexus-es-250-2016-5216413,Lexus ES,Lexus,1 Tỷ 199 Triệu,2016,Nhập khẩu,Số tự động,Sedan,Xăng 2.5 L,FWD - Dẫn động cầu trước,50000,5,4,Trắng,Nâu,Xe đã dùng
